ProductID,ProductName,CategoryID,SupplierID,Brand,CostPrice,SellingPrice,LaunchDate,Rating,Status
1,Funskool Remote Control Car,18,13,Funskool,55183.49,76784.24,6/17/2025,4.8,Active
2,Levi's Running Shoes,12,14,Levi's,28185.46,44885.98,10/10/2021,3.5,Active
3,Maybelline Face Wash,5,57,Maybelline,54680.93,76830.32,5/29/2022,3.6,Active
4,Levi's Hoodie,3,15,Levi's,44205.35,62657.25,7/10/2025,5,Active
5,L'Oréal Face Wash,14,73,L'Oréal,15485.71,20047.95,10/5/2025,5,Active
6,Cosco Football,7,32,Cosco,45482.28,59907.05,7/18/2022,5,Active
7,Sony Gaming Mouse,19,64,Sony,6607.71,8426.15,7/8/2024,4.4,Active
8,Aashirvaad Organic Honey,15,25,Aashirvaad,59547.52,89607.05,9/10/2025,3.7,Active
9,IKEA Wardrobe,20,140,IKEA,9741.38,14556.49,6/1/2024,4.8,Active
10,Maybelline Shampoo,5,151,Maybelline,45631.51,71293.13,3/22/2024,3.9,Active
11,Puma Slim Fit Jeans,3,149,Puma,13900.4,16696.28,2/7/2023,4.6,Active
12,Penguin Power BI Guide,17,121,Penguin,35974.56,52262.1,7/11/2023,4.4,Active
13,Lego Puzzle Set,9,143,Lego,43996.4,51513.83,7/16/2024,3.4,Active
14,Bosch Vacuum Cleaner,4,2,Bosch,58852.13,72419.08,4/10/2022,4.2,Active
15,Nilkamal Wardrobe,2,115,Nilkamal,9702.54,14630.42,8/4/2021,4.1,Active
16,Asus Bluetooth Speaker,1,114,Asus,5482.18,6774.38,5/11/2021,4,Active
17,Funskool Remote Control Car,9,117,Funskool,6270.49,9724.65,1/9/2024,3.4,Active
18,Allen Solly Sports Jacket,3,162,Allen Solly,8110.99,12220.24,7/10/2022,3.4,active
19,IKEA Wardrobe,2,146,IKEA,41588.52,62430.24,7/6/2024,0,Active
20,Tata Basmati Rice,15,119,Tata,27829.69,33278.15,2/15/2023,4.9,Active
21,Sony OLED TV,1,176,Sony,32708.21,43169.36,1/4/2021,4.3,Active
22,Nivia Badminton Racket,7,129,Nivia,940.19,1434.55,1/1/2025,3.7,Active
23,Havells Microwave Oven,13,56,Havells,48921.16,63261.58,6/15/2021,4.4,Active
24,HP iPhone 15 Pro,19,2,HP,15968.21,21408.68,4/29/2023,3.5,Active
25,Levi's Hoodie,3,37,Levi's,26099.5,32230.86,2/25/2023,3.4,Active
26,Levi's Sneakers,3,142,Levi's,33718.92,43380.22,1/22/2022,3.6,Active
27,Penguin Python for Data Analysis,8,37,Penguin,19936.09,25536.48,5/6/2025,4.2,Active
28,Hasbro Remote Control Car,18,136,Hasbro,19476.94,29601.59,5/17/2022,4.1,Active
29,Samsung OLED TV,10,115,Samsung,52236.05,67656.84,5/4/2023,4.4,Active
30,Hasbro Action Figure,18,166,Hasbro,17056.06,13644.85,2/8/2022,4.8,Active
31,Lego Building Blocks,9,74,Lego,6270.14,7110.23,12/4/2023,3.7,Active
32,Lakme Lipstick,14,199,Lakme,17722.51,20137.14,3/21/2021,4.8,Active
33,Asus Bluetooth Speaker,10,157,Asus,50066.75,79412.68,11/5/2021,4,Active
34,Maybelline Lipstick,14,104,Maybelline,29113,41705.27,11/18/2024,4.1,Active
35,Adidas Sports Jacket,3,98,Adidas,1917.98,2717.79,5/25/2021,4.2,Active
36,Lego Puzzle Set,18,36,Lego,49327.13,74828.45,6/25/2022,5.8,Active
37,Yonex Yoga Mat,7,200,Yonex,31651.22,46998.79,8/5/2021,3.6,Active
38,IFB Microwave Oven,13,32,IFB,56738.06,67907.86,4/8/2021,3.9,Active
