PromotionID,CampaignName,DiscountPercent,StartDate,EndDate,PromotionType
1,Summer Campaign 1,5,2024-10-16,2024-10-30,Flat
2,Monsoon Campaign 2,10,2023-08-17,2023-09-01,Percentage
3,Mega Campaign 3,5,2024-08-27,2024-09-30,Percentage
4,Monsoon Campaign 4,5,2023-08-12,2023-09-02,Flat
5,Weekend Campaign 5,40,2025-01-03,2025-02-13,Cashback
6,Flash Campaign 6,5,2024-08-26,2024-09-19,Cashback
7,Weekend Campaign 7,15,2023-12-15,2024-01-08,BOGO
8,Festive Campaign 8,40,2023-04-15,2023-04-27,BOGO
9,Mega Campaign 9,25,2025-05-17,2025-06-15,Cashback
10,Festive Campaign 10,40,2024-07-03,2024-07-17,Free Shipping
11,Festive Campaign 11,95,2023-10-28,2023-11-27,Percentage
12,Festive Campaign 12,25,2024-11-08,2024-11-29,Flat
13,Summer Campaign 13,40,2025-06-06,2025-06-19,Cashback
14,Winter Campaign 14,15,2024-10-12,2024-11-11,BOGO
15,Premium Campaign 15,10,2023-08-03,2023-08-27,Flat
16,Clearance Campaign 16,15,2024-06-30,2024-07-22,Cashback
17,Winter Campaign 17,20,2023-10-04,2023-11-15,Percentage
18,New Year Campaign 18,30,2023-08-23,2023-09-01,BOGO
19,Weekend Campaign 19,30,2023-03-09,2023-03-29,Cashback
20,Summer Campaign 20,15,2024-02-10,2024-03-17,Flat
21,Premium Campaign 21,25,2023-09-10,2023-10-22,Cashback
22,Winter Campaign 22,40,2025-07-08,2025-08-21,Flat
23,Festive Campaign 23,50,2023-05-22,2023-06-30,Percentage
24,Flash Campaign 24,15,2025-05-31,2025-06-14,Cashback
25,New Year Campaign 25,40,2024-09-02,2024-08-28,Free Shipping
26,Monsoon Campaign 26,25,2024-04-24,2024-06-03,Percentage
27,Winter Campaign 27,25,2024-11-27,2024-12-11,Percentage
28,Clearance Campaign 28,15,2023-10-28,2023-12-01,Percentage
29,Monsoon Campaign 29,15,2025-09-03,2025-09-26,Percentage
30,Flash Campaign 30,20,2025-06-10,2025-07-06,BOGO
31,Premium Campaign 31,5,2025-02-19,2025-03-08,BOGO
32,Winter Campaign 32,10,2024-05-15,2024-05-23,BOGO
33,Premium Campaign 33,20,2023-09-03,2023-09-13,Percentage
34,Monsoon Campaign 34,10,2023-03-29,2023-05-06,Flat
35,Summer Campaign 35,15,2023-05-12,2023-06-18,Free Shipping
36,Weekend Campaign 36,40,2025-06-12,2025-07-27,Free Shipping
37,New Year Campaign 37,25,2025-02-12,2025-03-03,BOGO
38,Festive Campaign 38,50,2024-03-24,2024-05-03,Flat
39,Mega Campaign 39,95,2023-08-19,2023-08-30,Free Shipping
40,Mega Campaign 40,20,2024-07-21,2024-08-11,Percentage
41,Festive Campaign 41,20,2024-12-25,2025-01-04,Percentage
42,Monsoon Campaign 42,10,2025-05-30,2025-06-27,Flat
43,Monsoon Campaign 43,20,2023-10-13,2023-11-20,Flat
44,Weekend Campaign 44,50,2025-01-10,2025-02-22,Cashback
45,Festive Campaign 45,20,2025-04-06,2025-05-09,Percentage
46,New Year Campaign 46,30,2024-11-05,2024-12-09,Cashback
47,Mega Campaign 47,10,2024-04-23,2024-05-03,Cashback
48,Weekend Campaign 48,10,2025-01-15,2025-02-12,Flat
49,Flash Campaign 49,50,2023-07-14,2023-08-24,Cashback
50,Weekend Campaign 50,50,2023-07-07,2023-07-31,Percentage
51,Mega Campaign 51,10,2024-03-29,2024-05-10,Free Shipping
52,Weekend Campaign 52,10,2025-05-06,2025-05-13,Flat
53,Weekend Campaign 53,50,2024-02-21,2024-03-30,Cashback
54,New Year Campaign 54,15,2025-07-13,2025-07-23,Percentage
55,Mega Festival Sale,50,2024-02-04,2024-02-27,BOGO
56,Mega Festival Sale,50,2024-03-09,2024-04-20,Flat
57,Mega Campaign 57,20,2023-07-14,2023-08-08,Free Shipping
58,Winter Campaign 58,5,2025-01-23,2025-03-05,Percentage
59,Monsoon Campaign 59,50,2023-02-21,2023-04-06,Free Shipping
60,Flash Campaign 60,10,2023-06-11,2023-06-21,Percentage
61,New Year Campaign 61,20,2024-09-01,2024-09-12,Percentage
62,Premium Campaign 62,20,2025-08-22,2025-10-04,Free Shipping
63,Premium Campaign 63,40,2023-02-10,2023-02-22,Free Shipping
64,Weekend Campaign 64,25,2024-06-19,2024-07-16,BOGO
65,Flash Campaign 65,40,2023-09-02,2023-09-25,BOGO
66,Mega Campaign 66,10,2024-04-13,2024-05-10,Cashback
67,Festive Campaign 67,10,2024-09-28,2024-11-10,Free Shipping
68,Flash Campaign 68,25,2023-08-07,2023-09-15,BOGO
69,Winter Campaign 69,20,2025-06-21,2025-07-02,BOGO
70,Premium Campaign 70,25,2023-06-11,2023-06-06,Free Shipping
71,Festive Campaign 71,25,2023-01-09,2023-02-20,Flat
72,Monsoon Campaign 72,10,2023-09-28,2023-10-12,Flat
73,Winter Campaign 73,20,2023-10-06,2023-10-31,Flat
74,Summer Campaign 74,50,2024-12-04,2024-12-27,Percentage
75,Mega Campaign 75,25,2023-04-05,2023-05-09,Percentage
76,Flash Campaign 76,25,2023-12-08,2023-12-23,Cashback
77,Festive Campaign 77,5,2024-07-18,2024-08-21,Percentage
78,Winter Campaign 78,5,2025-08-25,2025-09-10,Free Shipping
79,Flash Campaign 79,40,2024-07-19,2024-08-04,Percentage
80,Winter Campaign 80,5,2023-11-12,2023-12-12,Flat
81,Winter Campaign 81,10,2024-11-29,2024-12-21,Free Shipping
82,Weekend Campaign 82,15,2025-06-24,2025-07-27,Flat
83,Mega Campaign 83,40,2025-09-26,2025-10-14,Flat
