StoreID,StoreName,RegionID,StoreType,OpenDate,ManagerID
1,UrbanMart Chennai Branch,27,Outlet,2019-02-07,417
2,SmartBuy Delhi Branch,9,Standalone,2018-06-02,42
3,SmartBuy Mumbai Branch,19,Mall,2018-10-15,271
4,RetailMax Bengaluru Branch,30,Standalone,2024-04-30,56
5,RetailHub Kolkata Branch,13,Outlet,2024-06-13,492
6,SmartBuy Bengaluru Branch,15,Outlet,2023-05-15,277
7,RetailHub Mumbai Branch,1,Mall,2021-07-28,69
8,RetailHub Hyderabad Branch,1,Mall,2028-05-01,48
9,SmartBuy Mumbai Branch,6,Outlet,2020-11-10,10
10,UrbanMart Mumbai Branch,2,Outlet,2018-10-19,386
11,RetailMax Mumbai Branch,20,Outlet,2019-05-06,376
12,UrbanMart Ahmedabad Branch,35,Standalone,2019-09-20,158
13,UrbanMart Bengaluru Branch,16,Mall,2021-08-12,368
14,UrbanMart Bengaluru Branch,29,Standalone,2020-09-20,205
15,RetailHub Mumbai Branch,8,Outlet,2021-07-04,215
16,RetailMax Chennai Branch,2,Standalone,2020-10-17,305
17,RetailHub Ahmedabad Branch,6,Standalone,2020-02-12,394
18,UrbanMart Hyderabad Branch,4,Outlet,2023-05-05,303
19,RetailMax Ahmedabad Branch,13,Standalone,2023-12-11,9
20,SmartBuy Ahmedabad Branch,16,Mall,2022-04-25,374
21,UrbanMart Kolkata Branch,2,Outlet,2023-03-22,402
22,RetailMax Ahmedabad Branch,5,Standalone,2020-09-14,441
23,UrbanMart Mumbai Branch,17,Standalone,2020-12-30,393
24,RetailHub Delhi Branch,14,Outlet,2024-07-05,14
25,RetailHub Mumbai Branch,12,Outlet,2023-10-31,86
26,RetailMax Bengaluru Branch,17,Mall,2024-04-24,189
27,UrbanMart Ahmedabad Branch,26,Mall,2024-07-30,39
28,RetailMax Mumbai Branch,18,Mall,2023-02-17,208
29,RetailHub Mumbai Branch,26,Mall,2019-03-09,413
30,RetailHub Mumbai Branch,14,Standalone,2018-01-24,126
31,RetailMax Pune Branch,7,Mall,2020-12-11,385
32,UrbanMart Delhi Branch,26,Mall,2023-11-20,137
33,SmartBuy Kolkata Branch,30,Standalone,2018-12-13,131
34,SmartBuy Chennai Branch,6,Mall,2020-06-14,362
35,RetailHub Hyderabad Branch,27,Outlet,2024-04-22,60
36,UrbanMart Bengaluru Branch,29,Standalone,2024-03-01,342
37,RetailHub Hyderabad Branch,2,Standalone,2023-03-28,431
38,RetailHub Kolkata Branch,17,Outlet,2018-05-22,490
39,RetailMax Bengaluru Branch,30,Mall,2023-05-27,25
40,RetailMax Mumbai Branch,10,Mall,2019-11-21,334
41,RetailHub Hyderabad Branch,3,Standalone,2020-04-18,4
42,RetailMax Ahmedabad Branch,10,Outlet,2018-06-28,242
43,RetailMax Mumbai Branch,30,Standalone,2018-10-20,454
44,SmartBuy Pune Branch,23,Outlet,2028-05-01,86
45,RetailHub Pune Branch,18,Outlet,2023-10-18,299
46,SmartBuy Ahmedabad Branch,18,Mall,2023-07-22,420
47,RetailHub Ahmedabad Branch,2,Outlet,2021-12-12,117
48,UrbanMart Pune Branch,18,Standalone,2023-03-16,45
49,RetailMax Chennai Branch,8,Mall,2018-03-03,212
50,RetailHub Kolkata Branch,13,Outlet,2019-01-02,226
51,UrbanMart Bengaluru Branch,22,Outlet,2020-01-02,88
52,RetailMax Kolkata Branch,8,Mall,2024-04-09,103
53,RetailMax Chennai Branch,17,Standalone,2022-06-26,143
54,RetailMax Chennai Branch,21,Outlet,2019-11-23,240
55,UrbanMart Kolkata Branch,3,Mall,2021-11-11,39
56,RetailHub Delhi Branch,24,Mall,2024-05-10,442
57,RetailHub Ahmedabad Branch,17,Mall,2023-04-27,446
58,SmartBuy Hyderabad Branch,23,Mall,2021-08-13,90
59,UrbanMart Kolkata Branch,16,Outlet,2019-04-18,72
60,RetailMax Bengaluru Branch,1,Standalone,2019-01-02,495
61,UrbanMart Chennai Branch,23,Standalone,2025-01-21,215
62,UrbanMart Bengaluru Branch,22,Outlet,2021-10-18,263
63,RetailMax Bengaluru Branch,12,Mall,2024-08-18,11
64,RetailHub Kolkata Branch,21,Standalone,2020-09-01,60
65,RetailHub Pune Branch,13,Mall,2021-05-29,305
66,RetailMax Mumbai Branch,22,Outlet,2024-05-09,92
67,SmartBuy Mumbai Branch,10,Outlet,2023-12-17,6
68,RetailMax Ahmedabad Branch,1,Standalone,2019-12-20,366
69,RetailMax Bengaluru Branch,15,Outlet,2019-02-02,125
70,RetailMax Delhi Branch,22,Standalone,2019-10-14,311
71,SmartBuy Pune Branch,17,Outlet,2023-05-13,58
72,UrbanMart Mumbai Branch,3,Mall,2018-01-17,314
73,UrbanMart Ahmedabad Branch,17,Standalone,2019-08-28,209
74,UrbanMart Chennai Branch,9,Mall,2022-12-25,312
75,RetailMax Chennai Branch,10,Mall,2022-04-11,325
76,RetailMax Mumbai Branch,21,Mall,2022-12-24,301
77,SmartBuy Hyderabad Branch,4,Mall,2020-07-20,426
78,RetailMax Ahmedabad Branch,11,Standalone,2018-10-07,434
79,RetailMax Ahmedabad Branch,13,Standalone,2022-12-03,394
80,RetailHub Mumbai Branch,15,Outlet,2021-05-03,129
