SupplierID,SupplierName,City,State,Rating,LeadTimeDays
1,Vertex Trading 2,Pune,Telangana,3.3,18
2,Vertex Trading 3,Ahmedabad,Telangana,4.3,19
3,BlueLine Supply 4,Mumbai,Gujarat,4.3,17
4,TechSource 5,Kolkata,Uttar Pradesh,4.9,4
5,Prime Supply 6,Chennai,Telangana,3.8,16
6,NextGen Wholesale 7,Ahmedabad,Andhra Pradesh,4.0,12
7,Global Distributors 8,Mumbai,Karnataka,4.7,13
8,TechSource 9,Kolkata,Gujarat,4.1,4
9,BlueLine Supply 10,Pune,Maharashtra,4.8,11
10,NextGen Wholesale 11,Pune,Kerala,4.2,20
11,BlueLine Supply 12,Chennai,Kerala,4.9,13
12,NextGen Wholesale 13,Mumbai,Maharashtra,3.2,14
13,Global Distributors 14,Mumbai,Uttar Pradesh,4.5,5
14,BlueLine Supply 15,Hyderabad,Gujarat,3.6,17
15,BlueLine Supply 16,Pune,Gujarat,3.6,15
16,TechSource 17,Mumbai,Uttar Pradesh,3.6,2
17,NextGen Wholesale 18,Chennai,Uttar Pradesh,4.4,3
18,Apex Distribution 19,Chennai,West Bengal,4.9,15
19,Elite Imports 20,Chennai,Delhi,4.1,9
20,Vertex Trading 21,Chennai,Telangana,4.8,17
21,Global Distributors 22,Bengaluru,West Bengal,4.5,11
22,TechSource 23,Kolkata,West Bengal,3.3,14
23,Global Distributors 24,Delhi,Gujarat,3.4,10
24,Global Distributors 25,Bengaluru,Andhra Pradesh,3.9,16
25,Prime Supply 26,Bengaluru,West Bengal,4.7,8
26,NextGen Wholesale 27,Chennai,Kerala,3.8,18
27,Apex Distribution 28,Pune,Delhi,3.9,3
28,Prime Supply 29,Ahmedabad,Kerala,4.4,5
29,TechSource 30,Chennai,Delhi,4.9,7
30,Global Distributors 31,Hyderabad,Gujarat,4.9,4
31,Elite Imports 32,Pune,Kerala,3.9,8
32,Global Distributors 33,Ahmedabad,Gujarat,4.0,2
33,Global Distributors 34,Chennai,Telangana,4.2,-4
34,NextGen Wholesale 35,Hyderabad,Telangana,4.8,9
35,Elite Imports 36,Kolkata,Telangana,4.0,19
36,Apex Distribution 37,Bengaluru,Kerala,4.1,13
37,NextGen Wholesale 38,Pune,Tamil Nadu,4.5,20
38,Apex Distribution 39,Bengaluru,Uttar Pradesh,4.2,6
39,BlueLine Supply 40,Bengaluru,West Bengal,3.8,6
40,Vertex Trading 41,Pune,Uttar Pradesh,3.4,4
41,Prime Supply 42,Ahmedabad,Gujarat,3.3,6
42,Apex Distribution 43,Hyderabad,Uttar Pradesh,3.7,14
43,Elite Imports 44,Kolkata,Tamil Nadu,4.1,14
44,NextGen Wholesale 45,Kolkata,Andhra Pradesh,3.8,4
45,TechSource 46,Bengaluru,Andhra Pradesh,3.5,2
46,Prime Supply 47,Chennai,Andhra Pradesh,4.1,11
47,BlueLine Supply 48,Kolkata,Delhi,3.2,17
48,Global Distributors 49,Pune,Delhi,4.6,18
49,Apex Distribution 50,Pune,Karnataka,3.5,16
50,Apex Distribution 51,Ahmedabad,Uttar Pradesh,3.3,4
51,Elite Imports 52,Mumbai,West Bengal,4.9,7
52,Apex Distribution 53,Kolkata,Andhra Pradesh,4.2,3
53,NextGen Wholesale 54,Chennai,Delhi,4.2,2
54,Elite Imports 55,Mumbai,Tamil Nadu,4.0,18
55,NextGen Wholesale 56,Hyderabad,Tamil Nadu,3.6,7
56,Apex Distribution 57,Pune,Gujarat,4.7,15
57,NextGen Wholesale 58,Chennai,Telangana,4.0,13
58,BlueLine Supply 59,Kolkata,Tamil Nadu,4.1,15
59,Vertex Trading 60,Hyderabad,Kerala,4.3,18
60,Global Distributors 61,Delhi,Delhi,4.7,18
61,TechSource 62,Bengaluru,Kerala,4.6,9
62,BlueLine Supply 63,Hyderabad,Andhra Pradesh,3.3,12
63,Prime Supply 64,Hyderabad,Gujarat,3.9,7
64,NextGen Wholesale 65,Ahmedabad,Andhra Pradesh,4.7,13
65,Elite Imports 66,Ahmedabad,West Bengal,5.0,10
66,Prime Supply 67,Mumbai,West Bengal,4.0,20
67,Global Distributors 68,Kolkata,Kerala,3.5,5
68,Prime Supply 69,Hyderabad,Kerala,4.4,7
69,BlueLine Supply 70,Delhi,Telangana,4.2,13
70,Global Distributors 71,Mumbai,Tamil Nadu,4.1,18
71,Prime Supply 72,Ahmedabad,Maharashtra,4.8,4
72,Apex Distribution 73,Hyderabad,Kerala,4.3,10
