InventoryID,ProductID,StoreID,StockAvailable,ReorderLevel,LastRestocked
1,681,23,339,114,2024-07-18
2,803,59,453,70,2024-03-29
3,492,37,411,37,2026-01-26
4,172,25,688,125,2023-04-25
5,279,26,583,114,2023-03-23
6,429,56,236,129,2024-07-28
7,745,16,347,75,2024-11-24
8,172,48,738,114,2025-02-27
9,237,2,90,24,2023-10-01
10,786,74,244,149,2026-02-11
11,536,49,796,20,2025-10-29
12,240,75,42,30,2024-09-18
13,315,77,606,96,2024-03-29
14,986,35,206,74,2025-08-22
15,496,11,695,113,2023-04-26
16,733,30,622,55,2024-01-26
17,429,27,115,81,2023-06-02
18,704,13,347,127,2024-12-26
19,107,48,94,147,2023-10-27
20,32,25,-34,82,2023-02-25
21,812,28,-27,44,2025-07-17
22,771,73,-40,80,2024-06-11
23,545,56,-4,112,2023-06-14
24,784,49,-10,21,2023-07-20
25,858,46,-11,116,2024-11-20
26,370,11,-20,47,2023-12-11
27,863,36,-28,83,2024-02-11
28,320,7,-48,100,2023-07-23
29,368,76,-32,140,2024-02-27
30,64,66,-34,65,2025-07-14
31,880,39,-35,126,2025-05-07
32,284,50,-30,45,2026-01-01
33,817,40,-30,93,2025-03-06
34,672,49,-6,51,2024-12-01
35,224,43,-2,51,2025-03-28
36,316,47,-23,43,2025-10-15
37,858,10,-40,94,2025-08-09
38,514,80,-38,39,2025-03-13
39,657,28,-16,129,2024-08-26
40,555,65,-36,137,2025-09-22
41,120,17,608,56,2025-02-02
42,603,67,201,44,2025-09-12
43,935,66,296,96,2024-01-25
44,64,19,114,132,2025-10-25
45,437,71,346,29,2024-10-19
46,311,67,471,65,2024-04-27
47,278,19,227,86,2025-01-04
48,646,11,635,112,2025-04-02
49,114,7,326,100,2024-10-04
50,228,39,739,64,2023-11-14
51,300,62,500,73,2026-03-25
52,392,6,799,120,2023-10-22
53,903,28,583,32,2023-04-19
54,727,34,84,81,2023-06-07
55,12,21,501,73,2023-07-11
56,727,65,344,28,2023-06-11
57,138,21,649,66,2024-09-26
58,765,12,149,41,2025-12-15
59,682,50,569,39,2024-08-17
60,151,69,15000,41,2024-06-01
61,182,28,15000,121,2023-06-15
62,476,7,15000,77,2025-03-26
63,150,40,15000,92,2026-03-02
64,293,39,15000,72,2024-06-21
65,317,54,15000,147,2024-06-20
66,495,58,15000,95,2025-03-20
67,379,19,15000,78,2024-03-13
68,537,58,15000,99,2025-05-06
69,652,35,15000,71,2025-08-15
70,644,13,15000,101,2024-08-07
71,127,51,15000,126,2025-06-06
72,600,70,15000,64,2025-03-18
73,979,74,15000,35,2023-03-31
74,537,59,15000,72,2024-10-14
75,352,19,15000,106,2023-01-05
76,282,65,675,149,2024-11-25
77,862,80,91,71,2024-08-20
78,462,15,338,112,2023-06-05
79,780,51,604,50,2025-02-20
80,473,42,633,65,2024-07-13
81,185,73,25,54,2026-02-08
82,63,52,519,142,2024-10-18
83,377,80,406,90,2023-09-26
84,607,55,737,25,2024-09-12
85,612,64,714,70,2025-08-04
86,608,57,371,68,2025-08-28
87,941,69,348,97,2023-09-28
88,435,42,234,79,2024-04-20
89,522,77,375,108,2024-11-27
90,996,16,547,29,2025-03-14
91,603,3,214,92,2024-03-07
92,765,39,253,92,2023-05-22
93,645,35,36,133,2023-08-16
94,552,42,209,135,2024-04-09
95,106,72,648,125,2023-07-11
96,24,26,433,127,2025-09-15
97,684,66,10,111,2025-08-29
98,867,16,200,94,2023-05-07
99,455,75,356,38,2024-06-20
100,702,63,773,873,2025-03-14
101,966,22,378,478,2024-06-19
102,644,35,143,243,2023-06-23
103,123,51,82,182,2023-04-04
104,332,36,774,874,2025-04-17
105,516,2,73,173,2025-05-21
106,507,69,329,429,2025-08-17
107,600,35,243,343,2024-10-09
108,828,20,549,649,2024-11-29
109,908,26,430,530,2026-01-29
110,73,42,600,700,2026-01-12
111,962,14,13,113,2024-04-26
112,539,5,692,792,2023-12-29
113,176,4,691,791,2024-08-02
114,102,71,775,875,2025-10-13
115,707,77,602,702,2025-03-04
116,697,74,793,893,2024-04-17
117,31,41,309,409,2025-07-13
118,368,58,458,558,2025-05-23
119,765,47,173,273,2024-10-27
120,84,19,443,543,2025-06-17
121,352,34,798,898,2023-03-19
122,725,69,321,421,2023-09-22
123,619,29,604,704,2026-03-30
124,488,4,419,519,2024-05-31
125,776,74,356,456,2025-01-05
126,420,23,709,809,2025-10-28
127,994,61,11,111,2023-06-05
128,749,32,455,555,2026-01-04
129,413,71,629,729,2025-06-26
130,452,31,14,114,2024-09-14
131,951,34,634,734,2023-07-02
132,716,20,36,136,2023-03-10
133,139,4,472,572,2024-07-12
134,495,34,461,561,2024-06-28
135,141,68,253,353,2025-11-12
136,279,33,228,328,2024-06-15
137,478,24,175,275,2024-05-30
138,327,55,748,848,2024-08-05
139,790,18,389,489,2025-03-19
140,62,21,755,855,2026-03-18
141,910,28,629,729,2026-01-10
142,117,69,312,412,2023-10-24
143,778,79,685,785,2025-07-08
144,721,15,748,848,2024-11-23
145,358,18,227,327,2023-06-07
146,603,22,263,363,2023-06-06
147,571,40,250,350,2025-05-26
148,467,72,531,631,2024-01-03
149,793,30,385,485,2026-03-10
150,198,2,446,546,2023-08-11
151,591,64,310,410,2023-05-01
152,136,39,384,484,2023-03-18
153,654,38,449,549,2024-02-03
154,449,23,521,621,2025-02-17
155,958,31,11,111,2024-08-20
156,494,20,588,688,2023-01-18
157,881,37,408,508,2024-12-25
158,430,73,644,744,2026-03-01
159,198,58,564,664,2025-11-17
160,568,58,103,203,2024-10-07
161,26,45,244,344,2025-06-18
162,539,67,763,863,2025-08-07
163,873,63,296,396,2023-09-03
164,745,56,613,713,2025-07-05
165,950,27,195,295,2023-03-12
166,223,5,608,708,2025-10-07
167,755,46,730,830,2024-09-24
168,656,11,618,718,2023-09-15
169,438,43,226,326,2023-05-11
170,195,72,85,185,2024-06-15
171,128,11,460,560,2025-11-04
172,347,44,270,370,2024-05-17
173,34,33,113,213,2024-11-24
174,894,34,628,728,2023-04-20
175,191,3,10,110,2023-06-25
176,70,28,113,213,2024-06-02
177,356,71,504,604,2025-04-17
178,633,21,339,439,2023-11-18
179,686,57,193,293,2025-12-16
180,370,40,779,879,2023-07-26
181,906,59,582,682,2023-02-19
182,918,34,687,787,2024-06-16
183,784,6,75,175,2024-09-28
184,809,19,780,880,2025-04-20
185,248,27,291,391,2024-09-11
186,850,57,292,392,2023-04-29
187,702,53,622,722,2023-05-15
188,450,20,314,414,2023-05-12
189,624,13,92,192,2025-12-12
190,728,70,592,692,2024-12-30
191,784,63,354,454,2025-05-12
192,98,6,699,799,2024-08-09
193,955,57,89,189,2024-09-11
194,146,15,23,123,2025-04-08
195,562,21,276,376,2024-10-11
196,809,15,653,753,2025-07-23
197,327,21,139,239,2025-10-20
