CampaignID,PromotionID,Channel,Cost,Impressions,Clicks,Conversions
1,9,YouTube,167832.98,482218,21610,3792
2,31,SMS,116317.64,97480,21823,1315
3,145,YouTube,164428.15,192192,1434,428
4,118,Facebook,45174.78,413562,9935,1987
5,108,Instagram,185771.33,311725,21480,1686
6,22,YouTube,35745.37,152077,20780,1736
7,32,Instagram,85574.97,448776,23007,1124
8,86,Facebook,243958.18,314599,13033,1079
9,9,Affiliate,130313.18,339945,11117,2070
10,1,SMS,106307.93,351454,19337,4256
11,129,YouTube,188137.54,358336,840,193
12,29,Google Ads,52502.74,115165,19055,1091
13,6,Facebook,59767.32,475325,21008,1252
14,47,YouTube,87542.27,418417,14491,3739
15,29,YouTube,133043.54,82767,7151,1312
16,128,Instagram,2513.96,404058,5498,295
17,91,YouTube,248700.96,122880,24728,4509
18,78,Facebook,220793.31,41855,11574,3828
19,54,Email,228250.49,184354,17594,665
20,96,Instagram,194607.54,449053,837,433
21,123,Email,130677.59,375258,24578,3091
22,97,SMS,199733.66,79783,23685,2507
23,123,YouTube,156353.82,452765,10069,3768
24,91,SMS,89844.0,424026,19055,4624
25,60,YouTube,161352.3,80930,82393,972
26,60,Instagram,179071.52,76267,79931,2193
27,62,Affiliate,48759.04,366415,368915,854
28,75,Email,27330.49,78714,83126,1659
29,80,Affiliate,233406.48,177618,182376,2028
30,23,Instagram,155966.32,77801,82506,4425
31,56,Facebook,46292.82,458303,462075,4003
32,93,SMS,86961.55,272916,276317,3095
33,1,Instagram,76304.69,30474,30712,527
34,106,Google Ads,134512.44,142388,144887,2545
35,28,SMS,137532.18,499047,501153,3413
36,80,SMS,173405.7,497416,498930,3881
37,114,Google Ads,31196.49,437553,440653,2116
38,24,Instagram,59553.68,198558,202639,103
39,87,Email,182233.49,323842,324294,968
40,104,YouTube,19772.81,7903,11412,1021
41,144,SMS,35005.9,443186,446435,938
42,78,Affiliate,131558.77,191088,193990,2532
43,118,Affiliate,48764.94,352818,354797,4494
44,39,Affiliate,219904.86,264710,268713,1350
45,75,Instagram,216058.62,195678,198413,4090
46,8,SMS,77805.19,270900,275389,4816
47,108,Google Ads,133453.93,383906,385942,61
48,101,Instagram,141042.2,390301,390713,656
49,12,Facebook,226370.49,227418,231359,1744
50,59,YouTube,77242.8,472999,22683,4968
51,115,YouTube,241363.43,170287,13734,4608
52,67,YouTube,51050.04,19633,12035,4137
53,150,Facebook,235257.38,398964,16839,926
54,61,YouTube,210212.69,246434,8223,621
55,38,Google Ads,118312.9,329652,24157,1237
56,130,Google Ads,110789.42,40303,2382,346
57,61,SMS,39720.77,405912,10150,3482
58,92,Facebook,183664.41,260133,8727,2797
59,56,Google Ads,208018.07,115072,12274,908
60,126,YouTube,236625.82,178758,14726,14870
61,39,SMS,233209.13,5248,21631,21779
62,148,Google Ads,63926.95,273567,5850,5906
63,88,Affiliate,219461.68,7113,17439,17722
64,66,Instagram,163322.78,242273,1598,1691
65,6,SMS,233087.47,287474,17940,18023
66,86,SMS,213169.36,92407,6524,6812
67,75,SMS,141823.05,222045,15192,15344
68,87,Email,182671.5,165433,22009,22100
69,45,Facebook,186855.39,242930,15737,15885
70,61,YouTube,44263.95,5807,21168,21350
71,125,Facebook,162702.48,450653,19311,19536
72,143,Email,234624.68,249743,9037,9255
73,1,Facebook,209747.41,44698,2824,2878
74,150,Email,84801.95,46498,10263,10524
75,139,Affiliate,215503.78,299263,20337,3095
76,123,SMS,64398.04,170375,5073,1240
77,54,Affiliate,56869.8,301460,3742,3195
78,39,Google Ads,224920.28,162528,10186,1753
79,110,SMS,115633.37,17170,12392,3029
80,36,Google Ads,-52708.05,239222,9570,572
81,49,Google Ads,-74557.95,332332,16476,4752
82,89,Facebook,-80512.66,260616,19773,2466
83,23,Google Ads,-70418.07,126303,17758,1722
84,60,Facebook,-64407.89,257056,20450,1265
85,101,Google Ads,-74921.84,262103,7422,2322
86,128,Instagram,-167070.33,87606,22483,2428
87,81,Affiliate,-209896.19,395329,20645,3348
88,38,Instagram,90162.21,32438,8030,4988
89,39,Facebook,107827.68,228911,5124,1602
90,6,Google Ads,228003.07,456125,6144,4791
91,68,Facebook,249678.95,32899,1368,1345
92,98,Affiliate,148513.78,365328,14915,1662
93,78,Email,73368.08,424165,8174,3658
94,4,Instagram,64602.54,225878,21320,3394
95,107,Instagram,93509.72,387352,2041,739
96,6,Email,228567.94,466911,21521,4962
97,70,Affiliate,24794.33,497099,7781,1261
98,106,Affiliate,108432.94,449262,3779,1378
99,80,Facebook,223681.36,454958,11539,2827
100,10,Affiliate,91275.15,224175,18118,2899
101,10,Google Ads,211876.39,270892,9098,1022
102,71,Facebook,7565.32,37543,21825,517
103,36,Facebook,37842.98,326974,14454,2913
104,18,YouTube,30944.62,400224,19646,4971
105,91,Facebook,212664.44,108686,17413,2563
106,136,Email,214376.09,5986,3608,3056
107,8,Affiliate,100988.42,71631,7117,3180
108,123,Email,225561.95,447331,23992,608
109,108,Affiliate,192603.52,298997,20498,1894
110,117,SMS,103634.12,465923,24157,4055
111,55,Facebook,235538.16,414499,14600,1053
