OrderID,CustomerID,StoreID,PromotionID,OrderDateKey,OrderChannel,OrderStatus,TotalAmount
1,4046,62,46,20231219,Marketplace,Pending,39139.47
2,4345,18,74,20241014,Marketplace,Completed,69463.58
3,3832,51,128,20251224,Online,Completed,2563.54
4,817,64,48,20240204,Online,Completed,1713.16
5,4712,14,101,20240805,Offline,Completed,65286.25
6,4633,38,19,20230530,Online,Completed,22945.41
7,4043,48,98,20241013,Offline,Completed,35551.23
8,3746,10,120,20230629,Marketplace,Pending,60796.88
9,2827,62,139,20250808,Online,Completed,15681.08
10,2501,28,40,20241105,Online,Completed,54933.78
11,2354,62,48,20230721,Marketplace,Completed,47966.21
12,4888,32,83,20260521,Marketplace,Cancelled,28841.44
13,657,22,71,20251118,Offline,Completed,71124.15
14,2372,66,79,20250909,Online,Pending,11969.72
15,4495,11,131,20250109,Offline,Completed,9449.7
16,1997,33,144,20260314,Marketplace,Completed,57952.78
17,4760,57,83,20260821,Marketplace,Cancelled,21160.02
18,3102,48,2,20260313,Online,Completed,58984.16
19,3845,80,96,20251215,Marketplace,Pending,11559.11
20,2996,73,82,20260909,Online,Completed,32379.93
21,4735,38,46,20251107,Marketplace,Completed,27618.91
22,612,65,103,20250529,Offline,Pending,61542.44
23,1321,19,85,20250217,Offline,Completed,36365.51
24,3902,1,40,20260301,Online,Completed,9209.47
25,2719,43,99,20240811,Marketplace,Completed,44334.35
26,3886,11,68,20260805,Marketplace,Completed,45211.28
27,848,65,143,20230118,Marketplace,Completed,17979.27
28,2883,49,140,20260902,Offline,Pending,33390.79
29,335,60,3,20250416,Marketplace,Pending,73040.77
30,4570,31,53,20230408,Marketplace,Cancelled,33384.25
31,4258,55,37,20250601,Marketplace,Completed,70281.25
32,4803,40,141,20230109,Marketplace,Completed,2951.84
33,3163,24,71,20240726,Online,Completed,8108.94
34,2110,61,65,20230715,Online,Pending,49175.02
35,1878,12,99,20240422,Marketplace,Pending,74008.05
36,3277,25,89,20231025,Offline,Completed,60713.78
37,4154,21,34,20260310,Online,Completed,52180.18
38,4640,63,78,20230511,Online,Completed,9008.76
39,4027,26,87,20240213,Offline,Completed,53024.95
40,601,39,46,20230223,Offline,Completed,68444.76
41,3904,22,22,20230805,Online,Cancelled,30719.29
42,1204,16,41,20250227,Marketplace,Cancelled,11542.8
43,363,19,78,20230117,Marketplace,Completed,65755.14
44,2438,25,18,20230118,Offline,Completed,74730.82
45,2419,58,70,20250916,Online,Completed,38174.05
46,4106,38,126,20240313,Offline,Completed,22785.73
47,4906,8,36,20230110,Online,Completed,61388.72
48,679,13,91,20240110,Online,Completed,30416.04
49,369,75,135,20240705,Offline,Completed,3263.42
50,1183,64,14,20240524,Marketplace,Completed,30334.52
51,1553,4,41,20241022,Online,Completed,25328.35
52,3061,26,112,20231013,Online,Completed,46380.54
53,3975,51,54,20250308,Offline,Completed,11692.15
54,230,2,134,20230306,Online,Completed,20353.6
55,1574,27,28,20250810,Offline,Completed,23541.03
56,3210,43,90,20241126,Marketplace,Completed,19676.85
57,291,22,16,20250920,Online,Completed,53100.83
58,275,24,130,20250616,Offline,Completed,45489.53
59,1418,27,116,20260425,Online,Completed,65904.68
60,4690,45,12,20260514,Online,Cancelled,43169.6
61,2585,35,27,20251117,Offline,Completed,37027.34
62,2925,43,139,20250123,Online,Completed,23624.1
63,2182,23,125,20261108,Online,Completed,4351.35
64,1512,36,52,20241031,Online,Pending,49898.95
65,2152,17,27,20240621,Offline,Completed,73409.07
66,903,45,91,20230707,Online,Completed,46672.22
67,2805,6,102,20261020,Offline,Completed,39927.06
68,3260,33,98,20241223,Offline,Completed,49371.29
69,4930,46,53,20241216,Marketplace,Completed,58875.28
70,356,31,102,20230416,Offline,Completed,51019.05
71,4636,53,139,20230331,Online,Completed,36570.39
72,4119,3,137,20240919,Marketplace,Completed,54385.13
73,2644,67,51,20230515,Offline,Cancelled,8030.65
74,3906,48,29,20260622,Marketplace,Cancelled,10212.92
75,168,42,82,20230208,Online,Completed,55156.75
76,2254,65,69,20250709,Marketplace,Cancelled,42024.05
77,266,68,145,20261219,Online,Cancelled,38231.08
78,1396,26,131,20260208,Online,Completed,5034.3
79,3915,53,127,20261215,Offline,Completed,36110.45
80,2301,74,74,20241027,Offline,Completed,63957.82
81,3473,77,75,20240930,Offline,Completed,53235.63
82,691,22,53,20250423,Marketplace,Completed,29050.57
83,2630,54,47,20260522,Offline,Completed,41098.56
84,570,3,9,20240607,Online,Completed,15611.68
85,653,22,67,20230401,Online,Pending,45621.25
86,1565,39,32,20260830,Marketplace,Completed,23520.4
87,4195,30,91,20260202,Marketplace,Completed,57967.73
88,2166,43,81,20260606,Online,Completed,35264.92
89,2986,59,19,20240711,Online,Cancelled,47061.07
90,4253,25,145,20240403,Marketplace,Completed,689.88
91,1082,39,84,20251107,Online,Completed,29045.56
92,4007,11,61,20240805,Online,Completed,64362.0
93,1820,34,111,20240906,Offline,Completed,27793.67
94,918,1,76,20240912,Offline,Pending,15947.58
95,3617,13,87,20230919,Marketplace,Pending,25754.42
96,1996,33,132,20260712,Marketplace,Pending,44510.54
97,3071,28,68,20260419,Online,Completed,15110.91
98,2894,58,73,20261227,Online,Pending,37654.47
99,2411,6,53,20241208,Marketplace,Completed,73031.91
100,4680,18,61,20241102,Marketplace,Completed,-37168.2
101,1981,28,7,20230808,Offline,Completed,-39461.98
102,1582,67,66,20240828,Offline,Completed,-26893.92
103,3627,80,142,20261012,Marketplace,Completed,-35685.16
104,4979,79,56,20230815,Marketplace,Completed,-23596.07
105,2575,36,29,20260310,Offline,Cancelled,-51451.99
106,4327,71,106,20251219,Marketplace,Completed,-70489.39
107,2131,69,124,20230419,Marketplace,Completed,-43963.65
108,2006,5,18,20230909,Offline,Completed,-31927.57
109,2297,3,81,20250417,Online,Cancelled,-1451.19
110,4144,7,8,20260426,Marketplace,Completed,-67194.56
111,2946,27,128,20260501,Marketplace,Completed,29395.11
112,139,70,52,20230109,Offline,Completed,74428.26
113,2298,72,78,20260317,Offline,Completed,52743.19
114,2632,78,58,20250709,Online,Completed,46411.75
115,3502,21,44,20251206,Offline,Cancelled,50398.02
116,1972,16,108,20260702,Marketplace,Pending,31290.79
117,1311,47,27,20260716,Offline,Completed,9816.9
118,231,21,36,20250317,Marketplace,Completed,63503.51
119,3381,79,7,20241109,Online,Completed,68325.57
120,403,14,85,20260314,Offline,Cancelled,48300.22
121,2274,3,67,20250608,Offline,Completed,11830.33
122,257,75,16,20250523,Offline,Completed,65050.86
123,969,71,111,20250205,Offline,Completed,5588.19
124,4319,60,20,20260807,Online,Completed,70901.83
125,2489,38,150,20231213,Marketplace,Completed,2591.36
126,2994,21,29,20261109,Offline,Pending,4501.46
127,605,14,56,20230607,Marketplace,Pending,1713.64
128,952,3,135,20240826,Offline,Pending,52014.6
129,3082,39,128,20240921,Online,Completed,48606.73
130,729,36,123,20230527,Offline,Completed,74237.14
131,1966,64,41,20240607,Offline,Pending,35092.31
132,3145,17,91,20230324,Online,Completed,30389.36
133,1180,73,101,20240229,Offline,Completed,26130.02
134,2858,55,107,20261217,Offline,Pending,52424.54
135,2574,4,91,20250912,Offline,Completed,13831.64
136,1613,18,133,20260420,Offline,Cancelled,74240.86
137,3808,15,31,20240910,Marketplace,Completed,66205.02
138,4439,10,82,20240507,Online,Completed,44340.8
139,4774,65,126,20240103,Offline,Completed,22443.38
140,4845,8,123,20230521,Online,Completed,20689.21
141,636,17,52,20260811,Marketplace,Completed,53211.51
142,1695,46,105,20230204,Offline,Completed,21596.01
143,1026,44,81,20260717,Marketplace,Pending,73627.8
144,450,41,145,20241017,Online,Completed,21440.45
145,1154,19,91,20240909,Marketplace,Pending,49783.47
146,834,8,123,20240627,Online,Completed,46134.19
147,4742,72,8,20251103,Marketplace,Completed,40007.75
148,3611,71,12,20230721,Marketplace,Completed,66061.09
149,5000,13,115,20250806,Offline,Completed,61072.83
150,4764,5,115,20230409,Online,Completed,67235.22
151,3453,31,101,20240809,Marketplace,Pending,52178.42
152,4501,73,148,20230101,Offline,Completed,41998.86
153,3285,20,16,20230215,Online,Cancelled,19285.0
154,2745,65,62,20251204,Marketplace,Pending,13332.23
155,4823,75,96,20260714,Marketplace,Completed,50495.96
156,431,16,38,20230921,Online,Cancelled,19487.9
157,4954,65,27,20240419,Marketplace,Completed,65547.56
158,3942,41,61,20260425,Online,Completed,30029.36
159,2303,28,90,20241204,Marketplace,Completed,27215.65
160,1512,61,41,20261220,Marketplace,Completed,46000.86
161,2847,51,144,20230722,Offline,Completed,73383.21
162,1082,42,46,20230310,Marketplace,Completed,21310.94
163,3791,13,71,20261112,Offline,Completed,56482.66
164,4440,79,51,20240415,Marketplace,Completed,58848.11
165,4800,23,40,20250219,Marketplace,Completed,67439.74
166,3151,30,84,20250807,Marketplace,Completed,925.89
167,1116,70,3,20241231,Offline,Completed,56381.35
168,4346,56,46,20250920,Marketplace,Completed,20682.0
169,3521,61,127,20230608,Offline,Completed,71624.85
170,1615,12,78,20230825,Online,Completed,40218.44
171,4386,51,41,20250115,Marketplace,Completed,59067.82
172,1655,43,126,20250219,Offline,Completed,62540.08
173,2647,64,54,20240528,Offline,Pending,68120.97
174,3055,60,46,20260525,Marketplace,Completed,49955.83
175,765,17,87,20250819,Offline,Completed,48479.65
176,6,74,60,20260622,Online,Completed,44501.0
177,4005,78,97,20240102,Online,Completed,40775.1
178,3906,14,128,20250202,Offline,Completed,26881.62
179,1947,70,103,20230827,Online,Cancelled,47744.39
180,203,45,120,20240518,Offline,Completed,43019.9
181,2441,60,109,20260124,Offline,Completed,33073.0
182,2297,59,122,20260222,Marketplace,Completed,8212.85
183,868,30,26,20260720,Offline,Pending,72083.93
184,1567,52,84,20251215,Marketplace,Completed,8604.46
185,1960,10,108,20240717,Online,Completed,3656.06
186,4503,22,50,20260709,Marketplace,Completed,19561.88
187,3940,67,132,20260805,Online,Completed,32148.29
188,4191,36,111,20250508,Marketplace,Completed,609.26
189,1469,6,64,20260719,Marketplace,Completed,31702.27
190,1203,68,9,20241126,Marketplace,Completed,41891.05
191,909,72,144,20241121,Online,Completed,13164.66
192,18,55,102,20230420,Online,Completed,58092.91
193,3725,65,94,20230316,Online,Completed,59070.84
194,189,43,104,20250323,Offline,Pending,43572.91
195,486,52,89,20231206,Marketplace,Cancelled,16172.89
196,3402,47,68,20260110,Online,Completed,2567.11
197,3036,35,59,20250120,Marketplace,Completed,37981.59
198,4316,57,133,20250317,Online,Completed,20655.41
199,4999,22,149,20260405,Offline,Cancelled,30305.79
200,2285,25,38,20230518,Marketplace,Completed,70787.89
201,3397,19,64,20260918,Offline,Completed,28334.56
202,2269,38,66,20241227,Offline,Completed,14382.58
203,2477,8,82,20240516,Online,Completed,56984.11
204,4465,49,93,20260603,Online,Completed,26754.69
205,764,74,8,20260605,Offline,Completed,3128.76
206,4704,46,29,20230501,Marketplace,Completed,50665.8
207,706,9,32,20230413,Marketplace,Completed,67160.28
208,2580,3,52,20261219,Online,Cancelled,20086.02
209,2941,74,15,20240225,Online,Completed,68453.66
210,3358,45,75,20240714,Offline,Completed,35726.52
211,783,22,90,20260209,Online,Completed,18838.99
212,1303,32,61,20250917,Online,Cancelled,57048.37
213,2298,23,3,20231106,Marketplace,Cancelled,2846.91
214,1635,74,93,20251007,Marketplace,Completed,66333.61
215,3607,65,111,20241229,Online,Cancelled,7660.89
216,1378,14,71,20260829,Offline,Cancelled,65022.29
217,4153,31,13,20230415,Marketplace,Completed,37879.22
218,1460,30,134,20230627,Online,Completed,44958.96
219,4539,58,73,20230523,Online,Completed,65334.68
220,3365,23,87,20260512,Online,Completed,33945.73
221,821,38,97,20230112,Marketplace,Completed,9706.2
222,1372,53,124,20260523,Offline,Completed,52126.08
223,4222,57,85,20230903,Offline,Completed,22574.55
224,4885,43,17,20260904,Offline,Completed,73504.82
225,2511,46,144,20251027,Offline,Completed,61697.12
226,4540,37,45,20250910,Offline,Completed,73561.94
227,4128,38,35,20251104,Online,Completed,32625.16
228,4,72,96,20251207,Marketplace,Completed,15883.77
229,2750,23,148,20260725,Marketplace,Completed,39101.86
230,3622,28,113,20250513,Offline,Completed,40811.26
231,3207,70,77,20260213,Offline,Pending,43530.65
232,3492,54,2,20250331,Marketplace,Completed,27395.64
233,1102,67,51,20260821,Offline,Completed,7421.86
234,939,31,114,20240123,Online,Completed,28285.68
235,3357,49,85,20230902,Offline,Completed,38422.44
236,4043,75,120,20231122,Offline,Completed,26363.73
237,2279,58,101,20230606,Offline,Completed,60751.15
238,460,24,73,20250221,Marketplace,Completed,68507.04
239,4184,45,66,20250226,Online,Cancelled,18235.13
240,2485,38,46,20260321,Offline,Completed,35310.55
241,4115,35,8,20250210,Marketplace,Completed,68151.46
242,4453,31,112,20240329,Offline,Completed,39873.6
243,833,30,9,20240307,Marketplace,Completed,57338.38
244,1155,38,13,20260819,Offline,Completed,18941.4
245,2678,4,55,20230808,Marketplace,Completed,605.72
246,1820,8,110,20250201,Online,Completed,50438.52
247,3319,2,40,20240817,Marketplace,Completed,44530.1
248,487,45,9,20251105,Marketplace,Completed,4410.49
249,584,10,65,20260624,Online,Completed,69471.62
250,458,46,125,20250427,Online,Completed,40397.42
251,177,74,48,20260108,Online,Completed,32940.71
252,281,28,48,20240206,Offline,Completed,52503.46
253,3014,51,72,20260902,Offline,Completed,45624.12
254,4,58,81,20240821,Online,Completed,51250.74
255,2782,68,109,20260409,Online,Completed,11623.04
256,1954,9,1,20231104,Online,Completed,35496.18
257,4227,50,89,20230620,Online,Completed,31556.56
258,1778,80,86,20261104,Online,Completed,53577.47
259,520,79,26,20250710,Marketplace,Completed,57503.77
260,3709,53,140,20250113,Marketplace,Cancelled,11057.15
261,2020,29,97,20230117,Online,Completed,9299.6
262,2395,38,130,20250830,Marketplace,Completed,42519.49
263,4500,73,58,20251103,Marketplace,Completed,32485.04
264,2482,65,33,20250806,Marketplace,Completed,45326.11
265,3548,31,36,20250808,Offline,Completed,9744.01
266,54,57,33,20251023,Offline,Cancelled,66797.15
267,2969,15,35,20250418,Marketplace,Completed,21012.46
268,4092,12,50,20240130,Online,Completed,55192.12
269,1260,50,142,20250715,Marketplace,Completed,68327.3
270,722,26,17,20240917,Offline,Completed,14353.98
271,94,42,144,20250509,Marketplace,Completed,1232.8
272,4732,70,131,20230430,Online,Pending,53025.19
273,3980,41,111,20230820,Offline,Pending,35304.49
274,2041,3,75,20261010,Offline,Completed,18864.37
275,1769,25,78,20230408,Online,Cancelled,51089.05
276,3173,69,150,20241001,Offline,Completed,26317.67
277,4481,18,102,20250821,Offline,Pending,47409.28
278,3676,44,87,20230913,Offline,Completed,43774.42
279,4681,35,103,20260521,Online,Completed,31976.61
280,1825,20,45,20241028,Marketplace,Completed,33893.43
281,1212,72,53,20240407,Offline,Completed,2081.41
282,1235,65,133,20230131,Marketplace,Completed,30939.49
283,589,65,103,20231017,Online,Completed,28280.34
284,1819,64,64,20241214,Marketplace,Completed,2526.24
285,3038,19,112,20260504,Marketplace,Completed,40050.61
286,1291,48,59,20230708,Marketplace,Completed,64243.07
287,405,68,39,20230323,Marketplace,Cancelled,55648.48
288,2073,37,124,20241202,Online,Completed,46818.82
289,1098,80,11,20230104,Marketplace,Pending,8854.5
290,2295,78,126,20241120,Online,Pending,71465.28
291,3824,22,20,20241017,Offline,Completed,4968.66
292,2435,78,15,20250806,Offline,Pending,41228.68
293,1326,16,106,20260606,Online,Completed,55170.78
294,2890,74,9,20240111,Offline,Completed,39992.16
295,725,61,144,20241029,Offline,Completed,44383.33
296,4973,11,97,20240924,Online,Completed,7924.64
297,3831,68,57,20240831,Offline,Completed,18436.14
298,936,48,54,20251007,Online,Completed,6806.42
299,2123,35,86,20240308,Online,Completed,30376.55
300,1057,14,102,20240107,Online,Completed,67432.21
301,558,29,65,20260915,Online,Completed,20112.19
302,4186,72,143,20250828,Online,Completed,40797.18
303,980,50,78,20250801,Online,Cancelled,70007.89
304,476,22,86,20260919,Online,Completed,29020.26
305,3490,36,113,20240130,Online,Completed,5325.02
306,3465,66,143,20240419,Offline,Completed,17584.58
307,2046,50,44,20241219,Offline,Completed,30292.52
308,1453,4,24,20250509,Offline,Completed,16006.55
309,2736,38,32,20240115,Marketplace,Cancelled,43961.63
310,3694,18,147,20250413,Online,Completed,12055.64
311,2311,79,26,20260708,Marketplace,Completed,35628.86
