PaymentID,OrderID,PaymentMethod,PaymentStatus,PaymentDate,PaidAmount
1,1,Cash,Pending,2023-12-19,39139.47
2,2,UPI,Success,2024-10-14,69463.58
3,3,Credit Card,Success,2025-12-24,2563.54
4,4,Net Banking,Success,2024-02-06,1713.16
5,5,Credit Card,Success,2024-08-07,65286.25
6,6,Net Banking,Success,2023-05-31,22945.41
7,7,UPI,Success,2024-10-15,35551.23
8,8,Debit Card,Success,2023-07-01,60796.88
9,9,Net Banking,Success,2025-08-08,15681.08
10,10,UPI,Success,2024-11-06,54933.78
11,11,Cash,Success,2023-07-21,47966.21
12,12,UPI,Pending,2026-05-22,28841.44
13,13,Debit Card,Success,2025-11-19,71124.15
14,14,Debit Card,Success,2025-09-09,11969.72
15,15,Debit Card,Success,2025-01-09,9449.7
16,16,Credit Card,Success,2026-03-15,57952.78
17,17,Debit Card,Pending,2026-08-22,21160.02
18,18,Cash,Success,2026-03-15,58984.16
19,19,Credit Card,Pending,2025-12-15,11559.11
20,20,Cash,Success,2026-09-09,32379.93
21,21,Net Banking,Success,2025-11-09,27618.91
22,22,Credit Card,Pending,2025-05-31,61542.44
23,23,Credit Card,Success,2025-02-19,36365.51
24,24,Credit Card,Success,2026-03-03,9209.47
25,25,Cash,Success,2024-08-13,44334.35
26,26,UPI,Success,2026-08-06,45211.28
27,27,Credit Card,Success,2023-01-19,17979.27
28,28,UPI,Pending,2026-09-02,33390.79
29,29,Debit Card,Success,2025-04-16,73040.77
30,30,Net Banking,Pending,2023-04-08,33384.25
31,31,Cash,Success,2025-06-03,70281.25
32,32,Credit Card,Success,2023-01-11,2951.84
33,33,Cash,Success,2024-07-27,8108.94
34,34,Cash,Pending,2023-07-16,49175.02
35,35,Net Banking,Pending,2024-04-22,74008.05
36,36,Cash,Success,2023-10-26,60713.78
37,37,UPI,Success,2026-03-10,52180.18
38,38,UPI,Success,2023-05-12,9008.76
39,39,UPI,Success,2024-02-15,53024.95
40,40,Net Banking,Success,2023-02-23,68444.76
41,41,UPI,Failed,2023-08-06,30719.29
42,42,Net Banking,Success,2025-02-28,11542.8
43,43,Credit Card,Success,2023-01-18,65755.14
44,44,Debit Card,Success,2023-01-19,74730.82
45,45,Credit Card,Success,2025-09-16,38174.05
46,46,Cash,Success,2024-03-15,22785.73
47,47,Net Banking,Success,2023-01-12,61388.72
48,48,Net Banking,Success,2024-01-10,30416.04
49,49,Net Banking,Success,2024-07-06,3263.42
50,50,Cash,Success,2024-05-25,30334.52
51,51,UPI,Success,2024-10-24,25328.35
52,52,Credit Card,Success,2023-10-15,46380.54
53,53,Cash,Success,2025-03-10,11692.15
54,54,Net Banking,Success,2023-03-07,20353.6
55,55,Credit Card,Success,2025-08-11,23541.03
56,56,UPI,Success,2024-11-28,19676.85
57,57,Credit Card,Success,2025-09-21,53100.83
58,58,UPI,Success,2025-06-18,45489.53
59,59,Debit Card,Success,2026-04-26,65904.68
60,60,Net Banking,Failed,2026-05-15,43169.6
61,61,UPI,Success,2025-11-18,37027.34
62,62,Cash,Success,2025-01-25,23624.1
63,63,Credit Card,Success,2026-11-09,4351.35
64,64,Cash,Success,2024-11-02,49898.95
65,65,Net Banking,Success,2024-06-21,73409.07
66,66,Debit Card,Success,2023-07-07,46672.22
67,67,Debit Card,Success,2026-10-21,39927.06
68,68,Cash,Success,2024-12-24,49371.29
69,69,Cash,Success,2024-12-17,58875.28
70,70,Net Banking,Success,2023-04-18,51019.05
71,71,Cash,Success,2023-04-01,36570.39
72,72,UPI,Success,2024-09-21,54385.13
73,73,Debit Card,Failed,2023-05-15,8030.65
74,74,Net Banking,Pending,2026-06-23,10212.92
75,75,Net Banking,Success,2023-02-10,55156.75
76,76,Debit Card,Success,2025-07-10,42024.05
77,77,Net Banking,Failed,2026-12-21,38231.08
78,78,Net Banking,Success,2026-02-08,5034.3
79,79,Cash,Success,2026-12-15,36110.45
80,80,UPI,Success,2024-10-28,63957.82
81,81,Cash,Success,2024-09-30,53235.63
82,82,Cash,Success,2025-04-25,29050.57
83,83,Cash,Success,2026-05-24,41098.56
84,84,Cash,Success,2024-06-07,15611.68
85,85,Credit Card,Pending,2023-04-03,45621.25
86,86,Cash,Success,2026-08-31,23520.4
87,87,Net Banking,Success,2026-02-04,57967.73
88,88,Debit Card,Success,2026-06-08,35264.92
89,89,UPI,Pending,2024-07-12,47061.07
90,90,Debit Card,Success,2024-04-05,689.88
91,91,Credit Card,Success,2025-11-08,29045.56
92,92,UPI,Success,2024-08-07,64362.0
93,93,Credit Card,Success,2024-09-08,27793.67
94,94,Net Banking,Success,2024-09-14,15947.58
95,95,UPI,Pending,2023-09-20,25754.42
96,96,Net Banking,Failed,2026-07-13,44510.54
97,97,UPI,Success,2026-04-19,15110.91
98,98,Cash,Pending,2026-12-28,37654.47
99,99,UPI,Success,2024-12-10,73031.91
100,100,UPI,Success,2024-11-03,0.0
101,101,Net Banking,Success,2023-08-09,0.0
102,102,Cash,Success,2024-08-28,0.0
103,103,Credit Card,Success,2026-10-12,0.0
104,104,Credit Card,Success,2023-08-16,0.0
105,105,Cash,Failed,2026-03-12,0.0
106,106,Cash,Success,2025-12-20,0.0
107,107,Cash,Success,2023-04-21,0.0
108,108,Debit Card,Success,2023-09-11,0.0
109,109,UPI,Success,2025-04-17,0.0
110,110,Credit Card,Success,2026-04-26,0.0
111,111,Net Banking,Success,2026-05-01,29395.11
112,112,Cash,Success,2023-01-10,74428.26
113,113,Net Banking,Success,2026-03-17,52743.19
114,114,Cash,Success,2025-07-10,46411.75
115,115,UPI,Pending,2025-12-08,50398.02
116,116,UPI,Failed,2026-07-04,31290.79
117,117,Credit Card,Success,2026-07-17,9816.9
118,118,Credit Card,Success,2025-03-18,63503.51
119,119,UPI,Success,2024-11-11,68325.57
120,120,UPI,Failed,2026-03-14,-100.0
121,121,Net Banking,Success,2025-06-09,-100.0
122,122,UPI,Success,2025-05-23,-100.0
123,123,Credit Card,Success,2025-02-05,-100.0
124,124,Debit Card,Success,2026-08-07,-100.0
125,125,UPI,Success,2023-12-13,-100.0
126,126,Net Banking,Success,2026-11-10,-100.0
127,127,Credit Card,Pending,2023-06-08,-100.0
128,128,Credit Card,Success,2024-08-27,-100.0
129,129,Debit Card,Success,2024-09-23,48606.73
130,130,Debit Card,Success,2023-05-27,74237.14
131,131,Cash,Pending,2024-06-08,35092.31
132,132,Cash,Success,2023-03-24,30389.36
133,133,Debit Card,Success,2024-03-02,26130.02
134,134,Cash,Success,2026-12-19,52424.54
135,135,UPI,Success,2025-09-14,13831.64
136,136,Credit Card,Success,2026-04-22,74240.86
137,137,Credit Card,Success,2024-09-11,66205.02
138,138,Net Banking,Success,2024-05-08,44340.8
139,139,UPI,Success,2024-01-05,22443.38
140,140,Credit Card,Success,2023-05-21,20689.21
141,141,Credit Card,Success,2026-08-12,53211.51
142,142,Credit Card,Success,2023-02-06,21596.01
143,143,Debit Card,Success,2026-07-17,73627.8
144,144,UPI,Success,2024-10-18,21440.45
145,145,Credit Card,Success,2024-09-10,49783.47
146,146,Cash,Success,2024-06-28,46134.19
147,147,Net Banking,Success,2025-11-05,40007.75
148,148,Debit Card,Success,2023-07-21,66061.09
149,149,Debit Card,Success,2025-08-06,61072.83
150,150,Net Banking,Success,2023-04-09,67235.22
151,151,Debit Card,Success,2024-08-10,52178.42
152,152,Cash,Success,2023-01-01,41998.86
153,153,Net Banking,Success,2023-02-17,19285.0
154,154,UPI,Success,2025-12-05,13332.23
155,155,Credit Card,Success,2026-07-15,50495.96
156,156,Debit Card,Success,2023-09-22,19487.9
157,157,Cash,Success,2024-04-20,65547.56
158,158,Net Banking,Success,2026-04-27,30029.36
159,159,Net Banking,Success,2024-12-04,27215.65
160,160,Credit Card,Success,2026-12-20,46000.86
161,161,Credit Card,Success,2023-07-24,73383.21
162,162,Credit Card,Success,2023-03-11,21310.94
163,163,Net Banking,Success,2026-11-12,56482.66
164,164,Credit Card,Success,2024-04-15,58848.11
165,165,UPI,Success,2025-02-20,67439.74
166,166,Net Banking,Success,2025-08-09,925.89
167,167,Net Banking,Success,2024-12-31,56381.35
168,168,Credit Card,Success,2025-09-22,20682.0
169,169,Cash,Success,2023-06-09,71624.85
170,170,Net Banking,Success,2023-08-25,40218.44
171,171,UPI,Success,2025-01-16,59067.82
172,172,Debit Card,Success,2025-02-19,62540.08
173,173,Cash,Pending,2024-05-29,68120.97
174,174,UPI,Success,2026-05-26,49955.83
175,175,Cash,Success,2025-08-21,48479.65
176,176,Credit Card,Success,2026-06-24,44501.0
177,177,Credit Card,Success,2024-01-02,40775.1
178,178,UPI,Success,2025-02-02,26881.62
179,179,Credit Card,Pending,2023-08-27,47744.39
180,180,UPI,Success,2024-05-19,43019.9
181,181,Cash,Success,2026-01-25,33073.0
182,182,Credit Card,Success,2026-02-22,8212.85
183,183,Net Banking,Failed,2026-07-22,72083.93
184,184,Cash,Success,2025-12-15,8604.46
185,185,UPI,Success,2024-07-17,3656.06
186,186,Credit Card,Success,2026-07-10,19561.88
187,187,Credit Card,Success,2026-08-06,32148.29
188,188,Debit Card,Success,2025-05-08,609.26
189,189,UPI,Success,2026-07-20,31702.27
190,190,UPI,Success,2024-11-28,41891.05
191,191,Credit Card,Success,2024-11-23,13164.66
192,192,Cash,Success,2023-04-22,58092.91
193,193,Cash,Success,2023-03-18,59070.84
194,194,Debit Card,Success,2025-03-23,43572.91
195,195,Cash,Success,2023-12-08,16172.89
196,196,Credit Card,Success,2026-01-12,2567.11
197,197,Cash,Success,2025-01-20,37981.59
198,198,Cash,Success,2025-03-19,20655.41
199,199,Credit Card,Failed,2026-04-07,30305.79
200,200,Debit Card,Success,2023-05-18,70787.89
201,201,Cash,Success,2026-09-19,28334.56
202,202,UPI,Success,2024-12-27,14382.58
203,203,Credit Card,Success,2024-05-16,56984.11
204,204,Cash,Success,2026-06-05,26754.69
205,205,Cash,Success,2026-06-07,3128.76
206,206,Credit Card,Success,2023-05-01,50665.8
207,207,Net Banking,Success,2023-04-13,67160.28
208,208,Cash,Failed,2026-12-19,20086.02
209,209,Debit Card,Success,2024-02-26,68453.66
210,210,Cash,Success,2024-07-14,35726.52
211,211,Credit Card,Success,2026-02-09,18838.99
212,212,Cash,Failed,2025-09-18,57048.37
