ReturnID,OrderID,ProductID,ReturnReason,ReturnDate,RefundAmount
1,363,315,Wrong Item,2026-06-05,22346.3
2,18473,936,Damaged,2025-01-22,20509.93
3,12042,608,Changed Mind,2026-04-27,6607.78
4,138,373,Missing Parts,2024-05-11,6994.53
5,20681,331,Defective,2027-01-18,2696.34
6,1904,94,Defective,2026-02-10,20731.06
7,12131,381,Late Delivery,2025-09-02,1874.01
8,129,94,Defective,2024-10-11,7812.73
9,863,390,Wrong Item,2026-01-11,9179.32
10,5728,820,Changed Mind,2024-03-14,1361.04
11,18369,86,Defective,2025-04-10,5233.07
12,2395,965,Changed Mind,2024-02-17,8661.54
13,19878,424,Damaged,2023-04-14,24452.15
14,6914,615,Missing Parts,2025-01-12,21846.33
15,23704,768,Late Delivery,2023-07-27,3714.56
16,11635,899,Damaged,2025-03-15,10052.82
17,10524,825,Late Delivery,2026-06-07,8063.42
18,3346,722,Defective,2026-06-26,10289.48
19,18506,946,Defective,2024-11-03,18856.5
20,23401,766,Defective,2026-10-30,4210.48
21,17467,328,Damaged,2026-05-29,8511.41
22,18243,992,Wrong Item,2024-07-26,998.58
23,1769,774,Defective,2024-01-16,23566.93
24,2561,352,Missing Parts,2026-03-26,6955.19
25,13656,408,Damaged,2023-06-06,12866.87
26,11957,78,Damaged,2026-08-04,21747.67
27,6941,838,Defective,2024-02-25,10760.07
28,21392,767,Late Delivery,2025-06-18,1341.74
29,6456,4,Changed Mind,2027-01-07,17763.05
30,999999,312,Late Delivery,2023-02-22,22100.56
31,999999,803,Wrong Item,2024-02-05,14026.32
32,999999,235,Missing Parts,2025-06-04,2417.44
33,999999,44,Wrong Item,2024-12-11,15442.94
34,999999,423,Wrong Item,2024-12-13,992.52
35,999999,150,Missing Parts,2026-06-12,8619.86
36,999999,539,Late Delivery,2025-05-08,7673.37
37,999999,626,Changed Mind,2023-06-22,24970.57
38,999999,216,Defective,2026-12-13,18896.99
39,999999,123,Defective,2023-03-09,3982.28
40,999999,704,Late Delivery,2025-09-04,9061.74
41,999999,845,Late Delivery,2025-04-25,331.86
42,999999,360,Changed Mind,2025-05-20,18879.93
43,6245,447,Late Delivery,2025-07-26,6774.95
44,16229,64,Wrong Item,2026-03-19,13233.51
45,2077,356,Late Delivery,2023-05-02,23273.42
46,1383,259,Defective,2024-06-02,2970.47
47,21063,499,Defective,2025-11-07,11545.73
48,11272,319,Damaged,2026-07-01,23342.79
49,5525,531,Damaged,2025-03-23,10314.14
50,8802,237,Changed Mind,2023-11-26,24355.39
51,12764,181,Late Delivery,2023-11-22,3560.7
52,3775,286,Late Delivery,2025-09-19,15531.29
53,20420,357,Defective,2025-07-06,22707.35
54,6053,549,Wrong Item,2026-10-04,19936.59
55,2872,809,Damaged,2026-05-09,13396.28
56,24577,406,Damaged,2025-02-15,18058.53
57,21459,455,Changed Mind,2023-03-14,15592.5
58,13322,622,Wrong Item,2026-04-26,17438.39
59,7253,861,Late Delivery,2024-12-27,16059.93
60,3956,496,Late Delivery,2023-09-09,999999.0
61,4070,314,Changed Mind,2026-05-08,999999.0
62,13944,62,Late Delivery,2023-07-01,999999.0
63,5516,395,Defective,2024-10-06,999999.0
64,10059,26,Late Delivery,2026-03-03,999999.0
65,17002,765,Changed Mind,2023-02-25,999999.0
66,11980,993,Late Delivery,2024-12-20,999999.0
67,22334,677,Wrong Item,2025-05-21,999999.0
68,17634,377,Missing Parts,2024-10-28,999999.0
69,10527,330,Wrong Item,2024-04-17,999999.0
70,672,845,Defective,2024-04-02,999999.0
71,16377,541,Late Delivery,2026-12-08,1191.97
72,9861,669,Changed Mind,2024-11-26,11195.1
73,22382,20,Changed Mind,2023-03-25,9880.5
74,1581,71,Damaged,2024-03-18,24831.61
75,16418,830,Wrong Item,2023-11-27,19727.27
76,6866,109,Defective,2024-09-18,22634.35
77,12032,310,Changed Mind,2026-07-18,16856.53
78,18331,562,Defective,2025-01-13,4755.64
79,4157,770,Wrong Item,2023-11-17,8768.91
80,336,266,Wrong Item,2024-07-24,22783.94
81,14926,863,Damaged,2024-11-10,4744.03
82,17813,484,Wrong Item,2024-01-15,3925.31
83,13128,191,Damaged,2024-01-25,21821.16
84,10510,488,Late Delivery,2026-05-17,17346.91
85,10281,761,Missing Parts,2023-02-04,24170.65
86,20484,680,Late Delivery,2026-11-15,19123.92
87,8827,123,Late Delivery,2024-06-25,10798.73
88,19013,412,Wrong Item,2026-10-09,18290.44
89,1254,290,Missing Parts,2025-12-15,22106.88
90,7388,9,Late Delivery,2025-09-19,16413.52
91,299,822,Changed Mind,2024-03-06,13495.5
92,7858,103,Wrong Item,2026-04-08,21201.63
93,22453,204,Missing Parts,2023-05-31,22259.81
94,11844,482,Wrong Item,2023-12-04,18832.12
95,1183,596,Damaged,2025-06-26,18460.25
96,8644,686,Damaged,2024-05-14,24285.63
97,15639,606,Wrong Item,2023-01-02,3917.83
98,983,924,Late Delivery,2024-10-03,6734.73
99,23660,682,Defective,2026-08-19,10330.7
100,22614,893,Changed Mind,2023-07-25,12809.26
101,123,1,Damaged,2025-02-03,17243.92
102,18843,351,Late Delivery,2025-01-02,14493.41
103,74,215,Defective,2026-06-20,17107.87
104,23663,945,Damaged,2023-01-10,24259.48
105,2109,722,Damaged,2024-02-18,9151.79
106,3147,610,Changed Mind,2023-09-04,9300.47
107,12189,930,Wrong Item,2024-04-08,17194.66
108,17763,241,Wrong Item,2023-04-02,16925.76
109,5968,800,Damaged,2024-08-18,7385.12
110,4487,721,Missing Parts,2023-02-07,14895.88
111,13649,561,Damaged,2025-04-12,23130.22
112,22143,395,Damaged,2025-05-10,10638.52
113,21533,660,Defective,2024-06-13,1893.51
114,12584,72,Missing Parts,2026-10-25,19308.01
115,13193,687,Changed Mind,2024-09-24,7539.74
116,17701,22,Late Delivery,2024-09-18,19639.94
117,4072,366,Defective,2024-08-20,20724.69
118,9613,424,Wrong Item,2026-03-07,22307.28
119,17050,768,Late Delivery,2025-02-17,11812.21
120,7370,49,Missing Parts,2026-09-15,897.45
121,10546,425,Damaged,2025-10-22,7044.02
122,23821,750,Wrong Item,2023-02-25,11770.96
123,6496,249,Changed Mind,2024-06-03,6569.16
124,771,445,Wrong Item,2024-03-25,3958.1
125,21987,80,Wrong Item,2025-01-07,9998.85
126,14248,394,Late Delivery,2026-02-16,11038.3
127,24133,778,Changed Mind,2025-01-14,20917.89
128,249,184,Late Delivery,2026-06-28,20550.26
129,5090,701,Wrong Item,2025-10-19,21389.27
130,17870,796,Late Delivery,2023-12-17,24790.23
131,1445,909,Changed Mind,2023-06-09,21027.54
132,13243,439,Damaged,2025-08-22,4344.48
133,20177,790,Damaged,2024-12-30,16991.61
134,2318,90,Damaged,2024-04-15,3612.23
135,15843,804,Changed Mind,2026-05-08,4322.99
136,17126,313,Missing Parts,2026-07-30,1707.68
137,11155,837,Late Delivery,2025-09-02,8961.54
138,22823,579,Missing Parts,2023-08-25,7034.92
139,4642,891,Damaged,2024-01-20,4125.04
140,19766,980,Damaged,2024-02-14,2305.09
141,1476,391,Wrong Item,2023-08-05,22665.97
142,6583,843,Wrong Item,2025-12-07,10678.13
143,9572,8,Damaged,2024-07-13,14398.37
144,6483,949,Wrong Item,2025-03-06,13037.06
145,20740,13,Changed Mind,2025-10-05,9628.65
146,126,767,Late Delivery,2026-11-25,17678.77
147,14230,863,Wrong Item,2023-11-18,10150.41
148,2950,533,Wrong Item,2024-12-26,24633.75
149,1478,515,Defective,2024-12-28,9139.76
150,2527,780,Unknown,2025-10-16,9813.65
151,5189,177,Unknown,2023-08-01,6517.42
152,11520,254,Unknown,2025-05-11,10875.32
153,13912,956,Unknown,2025-02-20,11283.01
154,8533,7,Unknown,2024-12-08,22685.96
155,1257,597,Unknown,2023-10-12,20606.96
156,15508,351,Unknown,2024-11-23,14112.62
157,12725,608,Unknown,2024-08-07,2636.48
158,21489,645,Unknown,2025-10-17,20618.25
159,9086,934,Unknown,2023-07-27,664.46
160,771,974,Unknown,2024-03-24,9901.41
161,15842,483,Unknown,2026-11-28,12715.63
162,13075,856,Unknown,2023-02-06,5105.18
163,9131,505,Unknown,2024-10-14,19278.54
164,18776,943,Unknown,2023-01-29,21271.65
165,21532,295,Unknown,2026-07-28,24443.64
166,5024,551,Unknown,2024-05-14,4888.98
167,7235,372,Unknown,2026-09-02,406.98
168,3951,386,Unknown,2025-08-30,15964.82
169,22167,844,Unknown,2023-10-04,16233.65
170,580,655,Unknown,2023-12-12,10634.13
171,60,453,Missing Parts,2026-06-03,12493.7
172,24357,412,Defective,2025-02-14,7399.36
173,4217,260,Wrong Item,2025-08-06,24177.63
174,7910,206,Defective,2025-10-09,13824.42
175,2201,973,Defective,2024-05-10,12579.63
176,6847,535,Missing Parts,2023-07-21,20655.25
177,5078,499,Late Delivery,2025-01-17,2662.02
178,3165,283,Late Delivery,2025-02-19,6430.89
179,11329,603,Missing Parts,2023-03-31,3148.06
180,4605,930,Late Delivery,2023-10-12,15371.95
