ShipmentID,OrderID,Courier,DispatchDate,DeliveryDate,DeliveryStatus
1,1,XpressBees,2023-12-19,2023-12-22,Delivered
2,2,Ecom Express,2024-10-14,2024-10-18,Delivered
3,3,XpressBees,2025-12-24,2025-12-29,In Transit
4,4,BlueDart,2024-02-05,2024-02-09,Delivered
5,5,Delhivery,2024-08-07,2024-08-14,In Transit
6,6,XpressBees,2023-05-30,2023-06-02,Returned
7,7,BlueDart,2024-10-14,2024-10-19,In Transit
8,8,BlueDart,2023-06-29,2023-07-03,Delivered
9,9,XpressBees,2025-08-10,2025-08-17,Delivered
10,10,Ecom Express,2024-11-05,2024-11-10,Delivered
11,11,Ecom Express,2023-07-21,2023-07-24,Delivered
12,12,Ecom Express,2026-05-21,2026-05-25,Delivered
13,13,XpressBees,2025-11-18,2025-11-20,Returned
14,14,DTDC,2025-09-10,2025-09-11,In Transit
15,15,BlueDart,2025-01-09,2025-01-12,In Transit
16,16,DTDC,2026-03-16,2026-03-23,Returned
17,17,BlueDart,2026-08-23,2026-08-25,Delivered
18,18,Delhivery,2026-03-13,2026-03-12,Delivered
19,19,BlueDart,2025-12-17,2025-12-16,Delivered
20,20,DTDC,2026-09-11,2026-09-10,In Transit
21,21,Delhivery,2025-11-09,2025-11-08,Delivered
22,22,Delhivery,2025-05-30,2025-05-29,Pending
23,23,XpressBees,2025-02-19,2025-02-18,Delivered
24,24,DTDC,2026-03-01,2026-02-28,Pending
25,25,XpressBees,2024-08-12,2024-08-11,Delivered
26,26,XpressBees,2026-08-06,2026-08-05,Returned
27,27,Ecom Express,2023-01-19,2023-01-18,Delivered
28,28,XpressBees,2026-09-03,2026-09-02,Delivered
29,29,Delhivery,2025-04-17,2025-04-16,Pending
30,30,Ecom Express,2023-04-09,2023-04-08,In Transit
31,31,DTDC,2025-06-03,2025-06-02,Pending
32,32,XpressBees,2023-01-10,2023-01-09,Delivered
33,33,DTDC,2024-07-27,2024-07-26,Delivered
34,34,XpressBees,2023-07-15,2023-07-14,Delivered
35,35,BlueDart,2024-04-24,2024-04-23,Delivered
36,36,DTDC,2023-10-25,2023-10-24,Delivered
37,37,Ecom Express,2026-03-12,2026-03-18,Pending
38,38,DTDC,2023-05-12,2023-05-16,Delivered
39,39,Delhivery,2024-02-13,2024-02-19,Delivered
40,40,BlueDart,2023-02-23,2023-02-26,Pending
41,41,Ecom Express,2023-08-05,2023-08-09,Pending
42,42,BlueDart,2025-03-01,2025-03-03,Delivered
43,43,XpressBees,2023-01-17,2023-01-19,Delivered
44,44,BlueDart,2023-01-20,2023-01-21,Delivered
45,45,DTDC,2025-09-16,2025-09-21,Delivered
46,46,Ecom Express,2024-03-14,2024-03-16,Delivered
47,47,XpressBees,2023-01-11,2023-01-17,Delivered
48,48,Ecom Express,2024-01-10,2024-01-16,Delivered
49,49,Ecom Express,2024-07-05,2024-07-06,Delivered
50,50,,2024-05-24,2024-05-29,Delivered
51,51,,2024-10-22,2024-10-28,Delivered
52,52,,2023-10-14,2023-10-16,Delivered
53,53,,2025-03-10,2025-03-17,Pending
54,54,,2023-03-06,2023-03-12,Delivered
55,55,,2025-08-10,2025-08-15,Delivered
56,56,,2024-11-28,2024-12-05,Delivered
57,57,,2025-09-22,2025-09-23,Delivered
58,58,,2025-06-17,2025-06-20,Delivered
59,59,,2026-04-26,2026-05-01,Delivered
60,60,,2026-05-15,2026-05-20,Delivered
61,61,,2025-11-18,2025-11-24,Delivered
62,62,,2025-01-24,2025-01-29,Delivered
63,63,,2026-11-09,2026-11-11,Delivered
64,64,,2024-11-02,2024-11-07,Delivered
65,65,,2024-06-23,2024-06-25,Delivered
66,66,,2023-07-08,2023-07-12,Delivered
67,67,,2026-10-22,2026-10-27,Delivered
68,68,,2024-12-24,2024-12-26,Delivered
69,69,,2024-12-18,2024-12-23,Delivered
70,70,,2023-04-17,2023-04-20,Pending
71,71,,2023-04-02,2023-04-07,Delivered
72,72,,2024-09-19,2024-09-22,Delivered
73,73,,2023-05-17,2023-05-20,Delivered
74,74,,2026-06-23,2026-06-29,Delivered
75,75,,2023-02-10,2023-02-16,Delivered
76,76,,2025-07-11,2025-07-12,Delivered
77,77,,2026-12-19,2026-12-22,Delivered
78,78,,2026-02-08,2026-02-15,Delivered
79,79,,2026-12-15,2026-12-18,Delivered
80,80,,2024-10-27,2024-11-03,Delivered
81,81,,2024-10-01,2024-10-02,Pending
82,82,,2025-04-23,2025-04-25,Delivered
83,83,,2026-05-22,2026-05-25,Delivered
84,84,,2024-06-07,2024-06-10,Delivered
85,85,,2023-04-02,2023-04-06,Delivered
86,86,Ecom Express,2026-08-30,2026-09-01,Delivered
87,87,BlueDart,2026-02-04,2026-02-07,Delivered
88,88,Delhivery,2026-06-08,2026-06-14,Delivered
89,89,BlueDart,2024-07-13,2024-07-15,Pending
90,90,Ecom Express,2024-04-05,2024-04-09,Delivered
91,91,Delhivery,2025-11-07,2025-11-11,In Transit
92,92,XpressBees,2024-08-06,2024-08-13,Delivered
93,93,DTDC,2024-09-06,2024-09-10,Delivered
94,94,XpressBees,2024-09-13,2024-09-16,Delivered
95,95,XpressBees,2023-09-21,2023-09-26,Delivered
96,96,DTDC,2026-07-12,2026-07-16,Delivered
