SessionID,CustomerID,VisitDate,Device,TrafficSource,SessionDuration_Min,PagesViewed,Purchased
1,3001,2026-03-20,Mobile,Direct,8.92,8,Yes
2,4456,2025-04-08,Mobile,Organic,32.35,2,Yes
3,2425,2024-06-11,Mobile,Organic,18.57,3,Yes
4,1058,2026-10-28,Mobile,Referral,20.14,9,No
5,3512,2025-07-08,Desktop,Referral,10.88,12,Yes
6,1138,2026-03-28,Desktop,Organic,30.21,14,No
7,4249,2025-09-20,Desktop,Email,19.57,7,Yes
8,4000,2024-10-29,Tablet,Referral,27.31,8,No
9,2334,2025-07-10,Tablet,Direct,30.76,2,No
10,4918,2024-11-04,Mobile,Referral,14.05,11,No
11,4539,2026-01-03,Mobile,Google Ads,7.22,2,No
12,1713,2024-04-26,Desktop,Facebook,13.92,5,No
13,3271,2023-04-19,Mobile,Instagram,34.97,1,No
14,2277,2023-05-04,Desktop,Facebook,1.94,15,No
15,753,2024-06-08,Tablet,Google Ads,9.89,9,No
16,4841,2025-11-13,Mobile,Organic,5.94,5,No
17,3675,2023-07-25,Desktop,Facebook,10.88,1,No
18,4994,2026-09-24,Mobile,Organic,21.09,9,Yes
19,2685,2024-09-15,Tablet,Instagram,25.49,6,No
20,4291,2026-05-22,Tablet,Google Ads,-9.02,10,Yes
21,4644,2023-11-21,Tablet,Instagram,-8.38,11,No
22,2716,2025-03-28,Mobile,Google Ads,-3.93,6,No
23,4764,2026-05-16,Tablet,Organic,-5.61,6,No
24,1985,2023-10-29,Desktop,Google Ads,-9.83,7,No
25,4904,2023-03-17,Desktop,Direct,-7.84,6,No
26,2665,2024-02-18,Tablet,Direct,-6.73,7,Yes
27,1950,2023-07-18,Desktop,Email,-2.86,10,No
28,4665,2023-12-15,Mobile,Email,-9.13,4,No
29,4820,2025-05-24,Mobile,Direct,-4.99,10,No
30,3057,2024-12-27,Desktop,Instagram,-9.12,13,Yes
31,344,2024-02-29,Mobile,Facebook,-8.66,6,No
32,2227,2026-05-21,Desktop,Direct,-8.95,10,No
33,960,2024-07-07,Tablet,Email,-4.06,13,No
34,1108,2024-03-25,Tablet,Organic,-9.24,3,No
35,296,2025-04-25,Mobile,Referral,-8.69,5,No
36,2913,2024-08-02,Desktop,Email,-5.07,10,No
37,3260,2026-10-24,Desktop,Facebook,-1.49,14,No
38,545,2026-04-16,Tablet,Instagram,-3.38,15,Yes
39,4393,2024-03-17,Desktop,Direct,-9.35,14,No
40,4135,2023-09-05,Mobile,Google Ads,0.6,1,No
41,2798,2024-08-16,Tablet,Email,18.68,1,No
42,674,2024-03-18,Desktop,Google Ads,35.9,6,No
43,1270,2024-12-19,Desktop,Google Ads,20.56,6,No
44,3946,2023-12-29,Tablet,Facebook,36.51,12,No
45,527,2024-11-03,Tablet,Instagram,18.08,1,No
46,1838,2025-12-15,Tablet,Facebook,2.57,10,Yes
47,307,2026-03-20,Tablet,Email,43.39,8,No
48,2570,2026-05-09,Desktop,Google Ads,28.19,11,No
49,384,2024-04-03,Tablet,Organic,36.65,6,No
50,594,2026-08-03,Desktop,Facebook,21.25,12,Yes
51,766,2026-01-12,Mobile,Instagram,27.24,15,No
52,1244,2023-03-12,Mobile,Facebook,22.23,9,No
53,626,2024-05-05,Desktop,Referral,35.84,10,No
54,274,2024-12-03,Tablet,Direct,17.6,11,No
55,3785,2025-07-18,Desktop,Instagram,5.89,8,No
56,322,2025-10-29,Tablet,Instagram,30.01,1,No
57,1829,2025-09-19,Tablet,Facebook,10.62,8,No
58,199,2023-12-25,Desktop,Direct,40.05,5,Yes
59,50,2023-12-25,Tablet,Email,8.39,10,Yes
60,2834,2026-06-20,Mobile,Instagram,20.13,0,No
61,631,2025-06-13,Desktop,Organic,32.29,0,Yes
62,1952,2025-05-07,Desktop,Email,29.71,0,No
63,3255,2023-07-10,Tablet,Google Ads,42.84,0,No
64,4886,2025-12-10,Desktop,Facebook,42.62,0,Yes
65,3597,2023-11-11,Desktop,Facebook,27.92,0,No
66,1660,2026-08-23,Tablet,Facebook,28.38,0,No
67,4375,2026-11-26,Desktop,Google Ads,20.53,0,No
68,2562,2026-09-30,Tablet,Google Ads,23.57,0,No
69,1412,2026-08-18,Tablet,Referral,38.14,0,No
70,4588,2025-09-13,Desktop,Organic,21.18,0,Yes
71,1099,2026-01-14,Tablet,Referral,10.98,0,Yes
72,4299,2025-04-06,Tablet,Referral,37.47,0,No
73,2131,2026-03-24,Desktop,Organic,11.96,0,No
74,952,2025-07-04,Tablet,Organic,21.07,0,No
75,555,2024-06-04,Desktop,Facebook,44.47,0,No
76,2345,2024-07-22,Tablet,Email,32.27,0,Yes
77,2056,2023-08-17,Tablet,Referral,20.47,0,No
78,4801,2023-02-27,Tablet,Google Ads,23.22,0,Yes
79,790,2026-06-17,Desktop,Google Ads,13.56,0,Yes
80,381,2024-05-25,Mobile,Google Ads,4.01,0,Yes
81,1071,2023-05-25,Mobile,Email,23.91,0,No
82,1914,2025-06-26,Desktop,Instagram,11.32,0,No
83,2532,2023-05-23,Tablet,Google Ads,34.7,0,No
84,4625,2023-07-17,Desktop,Google Ads,6.31,0,No
85,1142,2025-12-13,Mobile,Referral,22.51,0,No
86,3248,2025-10-20,Tablet,Instagram,26.93,0,No
87,1123,2024-11-20,Tablet,Direct,14.23,0,No
88,4044,2024-02-23,Desktop,Referral,13.26,0,Yes
89,4667,2024-01-21,Mobile,Instagram,23.42,0,No
90,2878,2023-10-09,Desktop,Direct,2.19,0,No
91,4896,2025-02-09,Tablet,Email,43.05,0,No
92,3348,2025-12-17,Desktop,Facebook,7.18,0,No
93,395,2023-05-01,Desktop,Instagram,7.85,0,No
94,4503,2023-03-21,Mobile,Organic,40.5,0,Yes
95,1955,2024-07-28,Mobile,Facebook,27.23,0,No
96,2457,2024-08-12,Desktop,Direct,15.53,0,No
97,2299,2023-04-01,Tablet,Email,23.46,0,No
98,713,2023-07-21,Mobile,Instagram,8.5,0,No
99,1876,2026-12-02,Mobile,Facebook,43.22,0,No
100,3716,2025-06-02,Tablet,Organic,24.14,0,No
101,45,2026-11-10,Tablet,Referral,2.3,0,No
102,2151,2023-09-18,Mobile,Google Ads,31.91,0,No
103,1773,2026-04-03,Mobile,Google Ads,12.81,0,No
104,1631,2025-04-26,Tablet,Direct,27.43,0,No
